time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
66,10225,27.028972,0.326455,0.344548,0.324401,9.8e-05,0.000196,0.0,0.000587,0.0,0.000196,0.0,0.000196,0.000196,0.0,0.00176,0.0,0.00088,0.000391,9.8e-05,0.0,0.0,0.007971,0.409002,0.027348,0.510129,0.073597,1.023326,0.823765,0,1380,501,3633,1059,5533,0,0.09971,0.227412,392,36,491305.4965
67,9335,27.166054,0.32662,0.345688,0.323514,0.000107,0.000214,0.0,0.000643,0.0,0.000214,0.0,0.000107,0.000107,0.0,0.001393,0.0,0.000964,0.000428,0.0,0.0,0.0,0.0,0.474018,0.02757,0.588746,0.073673,1.023154,0.954151,0,0,890,2272,1037,6026,0,0.113112,0.231924,392,36,505007.6257
68,10231,27.306749,0.325579,0.34503,0.325188,0.000195,9.8e-05,0.0,0.000586,0.0,0.000293,0.0,9.8e-05,9.8e-05,0.0,0.001564,0.0,0.00088,0.000391,0.0,0.0,0.0,0.008433,0.407419,0.027525,0.506059,0.073296,1.02392,0.820545,0,1423,527,3574,984,5673,0,0.126313,0.235503,404,36,517528.4372
69,9321,27.445819,0.327004,0.343847,0.324858,0.000215,0.000107,0.0,0.000644,0.0,0.000322,0.0,0.000107,0.000107,0.0,0.001502,0.0,0.000858,0.000429,0.0,0.0,0.0,0.0,0.472409,0.027689,0.586849,0.073369,1.023915,0.951293,0,0,910,2384,868,6069,0,0.139317,0.239706,404,36,530783.4438
70,10000,27.586497,0.3277,0.3424,0.3259,0.0002,0.0001,0.0,0.0006,0.0,0.0003,0.0,0.0001,0.0001,0.0,0.0014,0.0,0.0007,0.0005,0.0,0.0,0.0,0.012872,0.415827,0.027717,0.513022,0.073557,1.025458,0.8363,1,1243,564,3505,822,5673,0,0.152125,0.24302,420,37,542935.545
71,9174,27.714808,0.327774,0.343253,0.324831,0.000109,0.000109,0.0,0.000545,0.0,0.000327,0.0,0.000109,0.000109,0.0,0.001526,0.0,0.000763,0.000545,0.0,0.0,0.0,0.0,0.475083,0.027817,0.585698,0.073605,1.025375,0.954981,0,0,826,2278,942,5954,0,0.164742,0.246998,420,37,556289.7049
72,10011,27.842602,0.32684,0.343023,0.325842,0.0001,0.0002,0.0,0.000699,0.0,0.0004,0.0,0.0001,0.0001,0.0,0.001498,0.0,0.000699,0.0004,0.0,0.0001,0.0,0.011914,0.411971,0.027665,0.506489,0.07384,1.025312,0.828189,0,1343,506,3502,885,5624,0,0.177169,0.250142,436,37,568593.1643
73,9183,27.957706,0.328324,0.343787,0.323315,0.000109,0.000218,0.0,0.000762,0.0,0.000327,0.0,0.000109,0.000109,0.0,0.001633,0.0,0.000762,0.000436,0.0,0.000109,0.0,0.0,0.475378,0.027873,0.584007,0.073857,1.025312,0.955788,0,0,828,2191,1005,5987,0,0.189409,0.254061,436,37,582258.7332
74,10128,28.070179,0.327508,0.344787,0.323065,9.9e-05,0.000197,0.0,0.000494,0.0,0.000395,0.0,9.9e-05,9.9e-05,0.0,0.001777,0.0,0.00079,0.000494,0.0,0.000197,0.0,0.011789,0.408928,0.027864,0.500234,0.073701,1.026029,0.824052,0,1442,497,3521,944,5663,0,0.201466,0.25723,453,37,594973.8138
75,9223,28.179877,0.330695,0.343272,0.321479,0.000108,0.000217,0.0,0.000434,0.0,0.000434,0.0,0.000108,0.000108,0.0,0.001626,0.0,0.000759,0.000542,0.0,0.000217,0.0,0.0,0.475177,0.027691,0.58233,0.073676,1.025986,0.959124,1,0,905,2356,843,6024,0,0.213342,0.261014,453,38,608425.4481
76,10171,28.289303,0.330351,0.342837,0.321994,0.000197,0.000197,0.0,0.000393,0.0,0.000393,0.0,0.000197,9.8e-05,0.0,0.00177,0.0,0.000787,0.000688,0.0,9.8e-05,0.0,0.011549,0.408171,0.027637,0.497574,0.074016,1.027867,0.822928,0,1472,524,3699,798,5674,0,0.22504,0.263903,470,38,620741.9154
77,9276,28.385776,0.331393,0.343144,0.32072,0.000216,0.000216,0.0,0.000216,0.0,0.000323,0.0,0.000216,0.000108,0.0,0.001725,0.0,0.000862,0.000755,0.0,0.000108,0.0,0.0,0.477497,0.02769,0.581871,0.073963,1.027729,0.962807,0,0,895,2506,900,5870,0,0.236563,0.267474,470,38,634238.938
78,10185,28.480262,0.335297,0.339912,0.319882,0.000196,0.000295,0.0,0.000196,0.0,0.000393,0.0,0.000196,9.8e-05,0.0,0.001669,0.0,0.000884,0.000785,0.0,0.000196,0.0,0.012253,0.407892,0.027651,0.497284,0.074004,1.028077,0.823564,0,1469,560,3828,849,5508,0,0.247912,0.270104,488,38,646533.4262
79,9255,28.560836,0.337547,0.337979,0.319503,0.000216,0.000216,0.0,0.000216,0.0,0.000324,0.0,0.000216,0.000108,0.0,0.001729,0.0,0.000972,0.000756,0.0,0.000216,0.0,0.0,0.477534,0.027761,0.580849,0.074109,1.028179,0.96456,0,0,930,2505,984,5766,0,0.259092,0.273502,488,38,660246.3699
80,10232,28.639312,0.337862,0.337568,0.31939,0.000195,0.000195,0.0,0.000195,0.0,0.000489,0.0,0.000195,9.8e-05,0.0,0.001759,9.8e-05,0.000977,0.000782,0.0,0.000195,0.0,0.01255,0.405731,0.027707,0.494466,0.073853,1.028599,0.82154,1,1514,537,3883,929,5420,0,0.270104,0.275968,507,39,672717.7907
81,9334,28.707187,0.336405,0.340476,0.318192,0.000214,0.000214,0.0,0.000214,0.0,0.000536,0.0,0.0,0.000107,0.0,0.001714,0.000107,0.000964,0.000643,0.0,0.000214,0.0,0.0,0.477827,0.027883,0.579736,0.073667,1.028686,0.968288,0,0,898,2521,1002,5811,0,0.28095,0.279325,507,39,686616.7148
82,10188,28.771443,0.334315,0.341873,0.318708,0.000393,0.000196,0.0,0.000196,0.0,0.000491,0.0,0.0,9.8e-05,0.0,0.001767,9.8e-05,0.000982,0.000687,0.0,0.000196,0.0,0.005567,0.409996,0.027856,0.497575,0.073839,1.029914,0.830094,0,1437,583,3821,943,5424,0,0.291634,0.281788,515,39,699323.5522
83,9296,28.830492,0.33423,0.342083,0.31917,0.000323,0.000215,0.0,0.000108,0.0,0.00043,0.0,0.0,0.000108,0.0,0.001614,0.000108,0.000861,0.000538,0.0,0.000215,0.0,0.0,0.477799,0.027887,0.57929,0.073744,1.029811,0.967728,0,0,892,2519,991,5786,0,0.302158,0.284978,515,39,713169.4234
84,10174,28.88515,0.338608,0.335266,0.321506,0.000295,0.000295,0.0,9.8e-05,0.0,0.000393,0.0,0.0,9.8e-05,0.0,0.001474,9.8e-05,0.000885,0.000688,0.0,0.000295,0.0,0.008276,0.409777,0.028015,0.496456,0.073661,1.030359,0.83045,0,1450,572,3845,929,5400,0,0.312523,0.2873,527,39,725826.2154
85,9322,28.931329,0.339734,0.335014,0.320961,0.000322,0.000215,0.0,0.0,0.0,0.000429,0.0,0.0,0.0,0.0,0.001502,0.000107,0.000858,0.000644,0.0,0.000215,0.0,0.0,0.476927,0.027972,0.578731,0.07362,1.030219,0.967604,1,0,852,2518,1032,5772,0,0.322734,0.290377,527,40,739840.4821
86,10274,28.974744,0.33979,0.333463,0.322075,0.000195,0.000195,0.0,9.7e-05,0.0,0.000681,0.0,0.0,0.0,0.0,0.001752,0.000195,0.000779,0.000584,0.0,0.000195,0.0,0.009278,0.406086,0.027869,0.49361,0.073421,1.030916,0.825482,0,1509,557,3886,970,5418,0,0.332791,0.292565,541,40,752627.6949
87,9366,29.012756,0.342622,0.331945,0.320841,0.000107,0.000214,0.0,0.000107,0.0,0.000641,0.0,0.0,0.0,0.0,0.001708,0.000214,0.000854,0.000534,0.0,0.000214,0.0,0.0,0.476971,0.027845,0.578181,0.073536,1.030689,0.970105,0,0,908,2531,1030,5805,0,0.342697,0.295606,541,40,766709.1058
88,10159,29.047719,0.340486,0.333793,0.321193,9.8e-05,0.000197,0.0,9.8e-05,0.0,0.000591,0.0,0.0,0.0,0.0,0.001673,9.8e-05,0.000886,0.000591,0.0,0.000197,9.8e-05,0.01147,0.412411,0.027887,0.498489,0.073711,1.031543,0.837976,0,1395,602,3769,967,5423,0,0.352455,0.297794,557,40,779613.2329
89,9249,29.079831,0.340037,0.333658,0.321765,0.000108,0.000216,0.0,0.000108,0.0,0.000649,0.0,0.0,0.0,0.0,0.00173,0.000108,0.000757,0.000649,0.0,0.000108,0.000108,0.0,0.478167,0.028079,0.57819,0.073576,1.031675,0.971348,0,0,910,2436,997,5816,0,0.362066,0.300728,557,40,793671.9531
90,10134,29.108783,0.341129,0.333432,0.3209,9.9e-05,0.000197,0.0,9.9e-05,0.0,0.000592,0.0,0.0,0.0,9.9e-05,0.001579,9.9e-05,0.000789,0.000691,0.0,0.000197,9.9e-05,0.011789,0.409136,0.02817,0.496034,0.073243,1.032304,0.831952,3,1442,557,3742,943,5449,0,0.371533,0.302759,574,43,806463.4985
91,9277,29.133276,0.33901,0.336639,0.320039,0.000108,0.000108,0.0,0.000108,0.0,0.000431,0.0,0.0,0.0,0.0,0.001617,0.000108,0.000755,0.000755,0.0,0.000216,0.000108,0.0,0.477149,0.028165,0.5781,0.073193,1.032503,0.970033,0,0,857,2396,1017,5864,0,0.380858,0.30558,574,43,820559.4108
92,10208,29.155428,0.33748,0.336893,0.321121,0.000196,9.8e-05,0.0,0.000196,0.0,0.000784,0.0,0.0,0.0,9.8e-05,0.001665,9.8e-05,0.000686,0.00049,0.0,9.8e-05,9.8e-05,0.012237,0.407626,0.02803,0.494641,0.073269,1.033365,0.830329,0,1471,540,3741,962,5505,0,0.390044,0.307598,592,43,833536.8584
93,9292,29.178324,0.337602,0.336096,0.321782,0.000215,0.000108,0.0,0.000215,0.0,0.000753,0.0,0.0,0.0,0.000108,0.001614,0.000108,0.000753,0.00043,0.0,0.000108,0.000108,0.0,0.475496,0.028011,0.577727,0.073314,1.033373,0.969759,0,0,916,2479,939,5874,0,0.399091,0.310323,592,43,847541.9997
94,10173,29.200335,0.333825,0.338642,0.322717,0.000197,9.8e-05,0.0,0.000197,0.0,0.000688,9.8e-05,0.0,0.0,9.8e-05,0.001769,9.8e-05,0.000786,0.000491,0.0,9.8e-05,0.000197,0.015183,0.407469,0.028094,0.495438,0.073447,1.034134,0.831416,0,1449,568,3787,890,5496,0,0.408003,0.31214,614,43,860258.3252
95,9306,29.217136,0.333656,0.338921,0.322588,0.000215,0.000107,0.0,0.000215,0.0,0.000752,0.000107,0.0,0.0,0.000107,0.001612,0.000107,0.00086,0.00043,0.0,0.000107,0.000215,0.0,0.476369,0.028244,0.577987,0.073387,1.033997,0.972813,3,0,867,2463,1005,5838,0,0.416781,0.31476,614,46,874349.9765
96,10208,29.230951,0.338166,0.335325,0.321415,0.000196,9.8e-05,0.0,0.000196,0.0,0.000686,9.8e-05,0.0,0.0,9.8e-05,0.001665,0.000196,0.001078,0.000392,9.8e-05,9.8e-05,0.000196,0.00955,0.408793,0.028634,0.495065,0.073257,1.034434,0.834444,0,1466,564,3792,957,5459,0,0.425427,0.316564,628,46,887308.5928
97,9305,29.242505,0.334981,0.337346,0.323052,0.000215,0.000107,0.0,0.000107,0.0,0.000752,0.0,0.0,0.0,0.000107,0.001612,0.0,0.00086,0.00043,0.000107,0.000107,0.000215,0.0,0.476765,0.028698,0.578191,0.073273,1.034386,0.9741,0,0,903,2484,990,5831,0,0.433944,0.319133,628,46,901516.2584
98,10252,29.253352,0.335837,0.334764,0.324912,0.000195,9.8e-05,0.0,9.8e-05,0.0,0.000878,0.0,0.0,0.0,0.000195,0.001561,0.0,0.000683,0.00039,9.8e-05,9.8e-05,0.000195,0.009696,0.404259,0.028657,0.491056,0.073435,1.035508,0.827351,0,1547,600,3882,926,5444,0,0.442333,0.320801,643,46,914430.137
99,9352,29.2643,0.335971,0.333405,0.326027,0.000214,0.000107,0.0,0.0,0.0,0.000855,0.0,0.0,0.0,0.000214,0.001604,0.0,0.000749,0.000428,0.000107,0.000107,0.000214,0.0,0.47406,0.028819,0.578133,0.073446,1.035456,0.969632,0,0,900,2568,979,5805,0,0.450596,0.323143,643,46,928437.6769
100,10265,29.276131,0.335217,0.333853,0.325962,0.000195,9.7e-05,0.0,0.0,0.0,0.000779,0.0,0.0,0.0,0.000195,0.001948,0.0,0.000779,0.000487,9.7e-05,9.7e-05,0.000292,0.011326,0.405422,0.028899,0.49374,0.073393,1.036277,0.829615,2,1501,588,3901,923,5441,0,0.458735,0.324654,660,48,941241.1914
101,9337,29.286626,0.33469,0.333619,0.326872,0.000214,0.000107,0.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.000107,0.002035,0.0,0.000857,0.000214,0.000107,0.000107,0.000321,0.0,0.476208,0.02929,0.579128,0.07353,1.036258,0.973546,0,0,928,2602,957,5778,0,0.466752,0.326934,660,48,955251.4609
102,10219,29.29645,0.332909,0.335454,0.326842,0.000196,9.8e-05,0.0,0.0,0.0,0.000685,0.0,0.0,0.0,9.8e-05,0.001761,0.0,0.000979,0.000294,0.000294,9.8e-05,0.000294,0.006259,0.409872,0.029199,0.497519,0.073387,1.036606,0.837753,0,1438,556,3901,898,5420,0,0.474649,0.328341,669,48,967952.9418
103,9283,29.297924,0.333836,0.333621,0.327911,0.000215,0.000108,0.0,0.0,0.0,0.000646,0.0,0.0,0.0,0.000108,0.001616,0.0,0.001077,0.000215,0.000215,0.000108,0.000323,0.0,0.475583,0.029259,0.579179,0.073345,1.036449,0.972746,0,0,936,2517,1053,5713,0,0.482428,0.330597,669,48,982228.0797
104,10282,29.299654,0.333593,0.331356,0.330383,0.000292,9.7e-05,0.0,0.0,0.0,0.000875,0.0,9.7e-05,0.0,0.000292,0.001459,0.0,0.000681,0.000195,0.000195,0.000195,0.000292,0.014351,0.405484,0.029223,0.492804,0.073332,1.037484,0.830189,0,1533,534,3910,993,5379,0,0.490089,0.331961,691,48,995188.3338
105,9329,29.301478,0.332083,0.330046,0.333155,0.000214,0.000107,0.0,0.0,0.0,0.00075,0.0,0.000107,0.0,0.000322,0.001501,0.0,0.00075,0.000214,0.000214,0.000214,0.000322,0.0,0.475089,0.029386,0.579417,0.073427,1.037501,0.973631,1,0,953,2543,1019,5767,0,0.497636,0.334184,691,49,1009467.1104
106,10225,29.30489,0.333007,0.331345,0.331149,0.000196,9.8e-05,0.0,0.0,0.0,0.000587,0.0,9.8e-05,0.0,0.000293,0.001663,0.0,0.000587,0.000196,0.000196,0.000196,0.000391,0.00545,0.407286,0.02942,0.496481,0.073539,1.038222,0.834523,0,1468,572,3870,966,5389,0,0.50507,0.335488,699,49,1022385.6703
107,9265,29.310485,0.331894,0.331031,0.332542,0.0,0.000108,0.0,0.0,0.0,0.00054,0.0,0.000108,0.0,0.000324,0.001835,0.0,0.00054,0.000216,0.000216,0.000216,0.000432,0.0,0.47584,0.029662,0.58037,0.073422,1.038182,0.973664,0,0,960,2535,977,5753,0,0.512392,0.337546,699,49,1036429.6809
108,10171,29.315402,0.3275,0.331138,0.336643,0.0,9.8e-05,0.0,9.8e-05,0.0,0.000492,9.8e-05,9.8e-05,0.0,0.000295,0.001671,0.0,0.00059,0.000295,0.000393,0.000197,0.000393,0.01296,0.407953,0.029657,0.497049,0.073544,1.038645,0.834431,0,1466,560,3856,925,5390,0,0.519604,0.338741,718,49,1049184.6765
109,9309,29.316719,0.328499,0.32764,0.338704,0.0,0.000107,0.0,0.000107,0.0,0.000537,0.000107,0.000107,0.0,0.000322,0.001826,0.0,0.000645,0.000322,0.00043,0.000215,0.00043,0.0,0.476859,0.029896,0.581197,0.073568,1.038877,0.97497,0,0,862,2506,1042,5761,0,0.526708,0.340798,718,49,1063381.7417
110,10179,29.317346,0.329797,0.323607,0.341193,0.0,9.8e-05,0.0,9.8e-05,0.0,0.000688,9.8e-05,9.8e-05,0.0,0.000589,0.001768,0.0,0.000589,0.000295,0.000393,0.000295,0.000393,0.010047,0.406734,0.029749,0.496134,0.073502,1.03936,0.832204,3,1493,623,3850,974,5355,0,0.533706,0.342013,733,52,1076383.955
111,9313,29.318909,0.333083,0.31805,0.343284,0.0,0.000107,0.0,0.000107,0.0,0.000537,0.000107,0.000107,0.0,0.000644,0.001933,0.0,0.000537,0.000322,0.00043,0.000322,0.00043,0.0,0.476587,0.029938,0.581744,0.073659,1.039504,0.974337,0,0,866,2520,998,5795,0,0.540598,0.343956,733,52,1090464.086
112,10256,29.320799,0.332781,0.319325,0.342239,0.0,9.8e-05,9.8e-05,9.8e-05,9.8e-05,0.000488,9.8e-05,0.0,0.0,0.000683,0.001853,0.0,0.000488,0.00039,0.00039,0.000293,0.000585,0.014113,0.408548,0.029892,0.497602,0.073815,1.039995,0.835901,0,1488,545,3854,949,5453,0,0.547387,0.345138,754,52,1103409.951
113,9288,29.321161,0.33258,0.320306,0.341839,0.0,0.000108,0.000108,0.000108,0.000108,0.000538,0.000108,0.0,0.0,0.000538,0.001507,0.0,0.000538,0.000431,0.000323,0.000323,0.000538,0.0,0.476096,0.030132,0.582387,0.073795,1.039924,0.972545,0,0,968,2491,990,5807,0,0.554075,0.34712,754,52,1117628.8337
114,10277,29.323155,0.331906,0.318965,0.343583,0.0,9.7e-05,0.000195,9.7e-05,9.7e-05,0.000487,0.000195,0.0,0.0,0.000487,0.001654,0.0,0.000681,0.000487,0.000292,0.000292,0.000487,0.010526,0.407041,0.030287,0.496579,0.073865,1.040414,0.831274,0,1520,531,3873,937,5467,0,0.560662,0.348234,770,52,1130531.4078
115,9372,29.323586,0.33248,0.319569,0.342296,0.0,0.000107,0.000107,0.000107,0.000107,0.000534,0.000213,0.0,0.0,0.000427,0.001814,0.0,0.000534,0.000534,0.00032,0.00032,0.000534,0.0,0.478403,0.030526,0.583506,0.074159,1.040455,0.978233,2,0,905,2554,994,5824,0,0.56715,0.350199,770,54,1144781.1637
116,10319,29.324167,0.33792,0.315825,0.340925,0.0,9.7e-05,9.7e-05,9.7e-05,9.7e-05,0.000581,0.000194,0.0,0.0,0.000388,0.001551,0.0,0.000581,0.000388,0.000291,0.000485,0.000485,0.01196,0.407871,0.030812,0.498626,0.074246,1.041053,0.834577,0,1505,558,3906,939,5474,0,0.573541,0.351271,788,54,1157742.5011
117,9373,29.324852,0.337779,0.31452,0.342153,0.0,0.000107,0.000107,0.000107,0.000107,0.00064,0.000107,0.0,0.0,0.000427,0.0016,0.0,0.000533,0.000427,0.00032,0.000533,0.000533,0.0,0.47706,0.030897,0.583897,0.074078,1.041143,0.976528,0,0,946,2569,998,5806,0,0.579836,0.353123,788,54,1171945.3335
118,10270,29.32493,0.337488,0.314216,0.342746,0.0,9.7e-05,9.7e-05,9.7e-05,9.7e-05,0.000682,9.7e-05,0.0,0.0,0.000389,0.001655,9.7e-05,0.000487,0.000487,0.000195,0.000389,0.000682,0.005988,0.406805,0.030779,0.49886,0.07386,1.041448,0.833204,0,1503,606,3928,930,5412,0,0.586036,0.35409,797,54,1184879.1288
119,9354,29.324798,0.335685,0.314625,0.344024,0.0,0.000107,0.000107,0.0,0.000107,0.000748,0.000107,0.0,0.0,0.000428,0.001604,0.000107,0.000535,0.000535,0.000214,0.000428,0.000641,0.0,0.476531,0.031196,0.58434,0.073917,1.04118,0.975946,0,0,916,2548,1026,5780,0,0.592144,0.355842,797,54,1199102.7236
120,10348,29.324905,0.331272,0.317549,0.345381,0.0,0.000193,0.000193,0.0,9.7e-05,0.00058,9.7e-05,0.0,0.0,0.000483,0.001643,9.7e-05,0.000773,0.000483,0.000193,0.000387,0.00058,0.011516,0.404968,0.031408,0.496323,0.073906,1.041508,0.829242,2,1563,569,3963,965,5420,0,0.59816,0.35677,815,56,1212094.8802
121,9402,29.323248,0.32993,0.315997,0.348117,0.0,0.000213,0.000213,0.0,0.000106,0.000638,0.000106,0.0,0.0,0.000532,0.001702,0.000106,0.000745,0.000532,0.000106,0.000319,0.000638,0.0,0.477645,0.031793,0.585268,0.074031,1.041245,0.977345,0,0,946,2582,1029,5791,0,0.604086,0.358553,815,56,1226444.5325
122,10365,29.32145,0.331404,0.313266,0.349059,0.0,0.000193,0.000193,0.0,9.6e-05,0.000675,9.6e-05,0.0,0.0,0.000675,0.001737,9.6e-05,0.000675,0.000579,0.000193,0.000482,0.000579,0.007717,0.406032,0.031683,0.497657,0.073989,1.041879,0.830873,0,1555,592,3980,966,5419,0,0.609922,0.359446,827,56,1239470.7877
123,9372,29.322456,0.330879,0.314127,0.348805,0.0,0.000213,0.000213,0.0,0.000107,0.00064,0.000107,0.0,0.0,0.00064,0.001814,0.000107,0.000747,0.00064,0.000213,0.000213,0.000534,0.0,0.478123,0.032084,0.586199,0.073913,1.042124,0.97834,0,0,993,2595,994,5783,0,0.615672,0.361114,827,56,1253670.8897
124,10338,29.324252,0.328497,0.311956,0.352679,0.0,0.000193,0.000193,0.0,0.000193,0.000871,0.000193,0.0,0.0,0.000677,0.001838,0.000193,0.000677,0.000677,0.000193,0.000193,0.000774,0.01241,0.407066,0.032075,0.4996,0.073789,1.042495,0.833333,0,1531,565,3970,947,5421,0,0.621335,0.361908,846,56,1266568.4174
125,9318,29.322144,0.324855,0.314552,0.354046,0.0,0.000107,0.000215,0.0,0.000107,0.000751,0.000215,0.0,0.0,0.000537,0.001824,0.000215,0.000644,0.000644,0.000215,0.000215,0.000859,0.0,0.479239,0.03235,0.586743,0.07384,1.042427,0.979609,4,0,1020,2548,1032,5738,0,0.626913,0.363612,846,60,1280950.6887
126,10274,29.320624,0.322075,0.317987,0.353027,0.0,0.000195,0.000292,0.0,9.7e-05,0.000584,0.000195,0.0,0.0,0.000487,0.002044,0.000195,0.000973,0.000681,0.000195,0.000195,0.000779,0.008497,0.407735,0.032547,0.499733,0.073697,1.042911,0.83356,0,1530,574,3939,957,5378,0,0.632407,0.364379,859,60,1293932.3215
127,9394,29.31993,0.323504,0.315521,0.354482,0.0,0.000213,0.000319,0.0,0.000106,0.000639,0.000106,0.0,0.0,0.000532,0.001916,0.000213,0.000745,0.000639,0.000106,0.000213,0.000745,0.0,0.479796,0.032707,0.587694,0.073752,1.043092,0.980626,0,0,880,2586,1021,5787,0,0.637819,0.365983,859,60,1308157.6569
128,10338,29.320121,0.327143,0.313504,0.35297,0.0,0.000193,0.00029,0.0,9.7e-05,0.00058,9.7e-05,0.0,0.0,0.000484,0.001838,0.000193,0.000774,0.000677,0.00029,0.00029,0.00058,0.010471,0.409,0.033117,0.501146,0.074157,1.043654,0.835945,0,1528,584,3953,958,5427,0,0.64315,0.366765,875,60,1321187.2244
129,9358,29.319251,0.325604,0.313101,0.355204,0.0,0.000214,0.000321,0.0,0.000107,0.000321,0.000107,0.0,0.0,0.000534,0.001817,0.000107,0.000748,0.000641,0.000321,0.000214,0.000641,0.0,0.479561,0.03357,0.588348,0.074015,1.043326,0.980124,0,0,980,2606,1017,5735,0,0.648401,0.368383,875,60,1335548.4594
130,10298,29.319782,0.323752,0.312488,0.357642,0.0,0.000194,9.7e-05,0.0,0.000194,0.000388,0.000194,0.0,0.0,0.000388,0.002039,0.000194,0.000777,0.000486,0.000291,9.7e-05,0.000777,0.008564,0.408759,0.033479,0.50213,0.073826,1.04384,0.835988,6,1518,578,3974,962,5362,0,0.653573,0.369031,888,66,1348462.8664
131,9349,29.31951,0.322067,0.31244,0.359504,0.0,0.000214,0.000107,0.0,0.000214,0.000321,0.000214,0.0,0.0,0.000428,0.002032,0.000214,0.000749,0.000535,0.000214,0.000107,0.000642,0.0,0.479138,0.033618,0.588996,0.07374,1.043961,0.980533,0,0,949,2583,1043,5723,0,0.658668,0.370545,888,66,1362739.3042
132,10334,29.318369,0.324947,0.31169,0.357171,9.7e-05,0.00029,9.7e-05,0.0,0.000194,0.00029,0.000194,0.0,0.0,0.000581,0.002226,0.000194,0.000484,0.000581,0.000194,9.7e-05,0.000677,0.010925,0.406729,0.033649,0.500617,0.074082,1.044592,0.833946,0,1556,571,4002,982,5350,0,0.663686,0.371196,905,66,1375772.2526
133,9392,29.316357,0.323999,0.311329,0.358922,0.000106,0.000213,0.000106,0.0,0.000213,0.000106,0.000213,0.0,0.0,0.000532,0.002236,0.000106,0.000532,0.000532,0.000106,0.000106,0.000639,0.0,0.478732,0.034041,0.590147,0.074164,1.044681,0.982006,0,0,942,2622,1025,5745,0,0.668629,0.372663,905,66,1390052.3759
134,10335,29.316287,0.32598,0.306821,0.361587,9.7e-05,0.000194,0.000194,0.0,0.000194,9.7e-05,0.000194,0.0,0.0,0.000581,0.001935,0.000194,0.000581,0.000484,0.000194,9.7e-05,0.000581,0.005937,0.408834,0.034043,0.503927,0.074258,1.045049,0.838413,0,1516,573,3993,959,5383,0,0.673497,0.373257,914,66,1403030.434
135,9395,29.314489,0.325386,0.306865,0.36232,0.000106,0.000106,0.000106,0.0,0.000213,0.000106,0.000213,0.0,0.0,0.000532,0.002129,0.000213,0.000426,0.000426,0.000213,0.000106,0.000532,0.0,0.4786,0.034252,0.590807,0.074491,1.045055,0.98148,2,0,940,2607,1040,5748,0,0.678293,0.374715,914,68,1417381.9652
136,10345,29.312154,0.323248,0.306428,0.364717,0.0,9.7e-05,9.7e-05,0.0,0.000193,0.000193,0.00029,0.0,0.000193,0.000483,0.002127,0.000193,0.000483,0.000387,0.000193,9.7e-05,0.00058,0.010835,0.406276,0.034313,0.501579,0.073962,1.045686,0.833639,0,1569,619,4007,976,5362,0,0.683017,0.375287,931,68,1430429.6767
137,9443,29.3082,0.322461,0.306894,0.365032,0.0,0.000106,0.000106,0.0,0.000106,0.000212,0.000318,0.0,0.000212,0.000529,0.002118,0.000212,0.000424,0.000318,0.000212,0.000106,0.000635,0.0,0.478773,0.034818,0.59116,0.073837,1.045681,0.982103,0,0,902,2614,1046,5783,0,0.68767,0.376696,931,68,1444801.7448
138,10404,29.307791,0.325163,0.305844,0.363706,0.0,9.6e-05,0.0,0.0,0.0,0.000192,0.000288,0.0,0.000192,0.000577,0.002018,0.000192,0.000481,0.000288,0.000192,9.6e-05,0.000673,0.015238,0.406903,0.034861,0.502035,0.073866,1.046109,0.83516,0,1575,614,4019,985,5400,0,0.692253,0.377287,955,68,1457940.7683
139,9467,29.307865,0.32439,0.305377,0.364846,0.0,0.000106,0.0,0.0,0.0,0.000211,0.000211,0.0,0.000211,0.000634,0.002113,0.000211,0.000423,0.000317,0.000211,0.0,0.000739,0.0,0.479668,0.035152,0.592153,0.074093,1.046099,0.984155,0,0,937,2664,997,5806,0,0.696767,0.378689,955,68,1472236.4257
140,10422,29.310238,0.324122,0.303972,0.36634,0.0,0.000192,0.0,0.0,0.0,0.000192,0.000192,0.0,0.000192,0.000768,0.001823,0.000384,0.00048,0.000384,0.000384,0.0,0.000576,0.009223,0.410343,0.03508,0.506258,0.074112,1.046362,0.841105,3,1518,563,4025,938,5459,0,0.701214,0.379214,969,71,1485242.972
141,9449,29.30659,0.324479,0.303736,0.366282,0.0,0.000212,0.0,0.0,0.0,0.000106,0.000212,0.0,0.000212,0.000635,0.001905,0.000423,0.000529,0.000317,0.000423,0.0,0.000529,0.0,0.480386,0.035609,0.593094,0.074191,1.046523,0.984549,0,0,973,2615,1040,5794,0,0.705594,0.380669,969,71,1499783.3061
