time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
19,7722,19.120073,0.326081,0.332686,0.339031,0.0,0.0,0.0,0.000259,0.0,0.0,0.0,0.0,0.0,0.0,0.000777,0.0,0.000389,0.000648,0.00013,0.0,0.0,0.009554,0.173884,0.001273,0.4682,0.073596,1.010177,0.349391,0,1570,25,5147,2575,0,0,0.0,0.004034,76,1,28206.2702
20,9469,19.21507,0.326328,0.33108,0.340374,0.0,0.0,0.0,0.000211,0.0,0.0,0.0,0.0,0.0,0.0,0.000739,0.0,0.000317,0.000739,0.000211,0.0,0.0,0.007271,0.187146,0.00155,0.477173,0.073379,1.01016,0.376175,0,1788,41,6251,3218,0,0,0.0,0.00524,89,1,35325.6761
21,11478,19.272987,0.325057,0.333943,0.338648,0.0,0.0,0.0,0.000174,0.0,0.0,0.0,0.0,0.0,0.0,0.000871,0.0,0.000261,0.000871,0.000174,0.0,0.0,0.006488,0.194537,0.002086,0.46184,0.0737,1.00944,0.391009,0,2466,457,7669,3809,0,0,0.0,0.006841,105,1,44217.342
22,10245,19.461814,0.324256,0.334212,0.339092,0.0,0.0,0.0,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.000781,0.0,0.000293,0.000976,0.000195,0.0,0.0,0.0,0.272151,0.002606,0.588028,0.073639,1.009451,0.547487,0,0,1233,6052,807,3386,0,0.0,0.008959,105,1,48289.4991
23,9502,19.643923,0.323721,0.332983,0.34077,0.0,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.000737,0.0,0.000316,0.001052,0.00021,0.0,0.0,0.0,0.3147,0.003135,0.588315,0.073538,1.009515,0.632498,0,0,743,4706,926,3870,0,0.0,0.011675,105,1,53127.9081
24,10688,19.771423,0.324382,0.330464,0.342721,9.4e-05,0.0,0.0,0.000187,0.0,0.0,0.0,0.0,0.0,0.0,0.000749,0.0,0.000281,0.000936,0.000187,0.0,0.0,0.010708,0.273254,0.00385,0.496014,0.073468,1.011945,0.548933,0,1681,495,4982,2049,3657,0,0.0,0.01508,123,1,60731.3702
25,9728,19.927485,0.325247,0.331003,0.341591,0.000103,0.0,0.0,0.000206,0.0,0.0,0.0,0.0,0.0,0.0,0.000822,0.0,0.000308,0.000617,0.000103,0.0,0.0,0.0,0.307963,0.004666,0.589819,0.073377,1.012045,0.618729,0,0,960,3311,1261,5156,0,0.0,0.019301,123,1,67875.1443
26,11733,20.008747,0.325577,0.334271,0.338021,8.5e-05,0.0,0.0,8.5e-05,0.0,0.0,0.0,0.0,0.0,8.5e-05,0.000852,0.0,0.000256,0.000597,0.00017,0.0,0.0,0.006993,0.23747,0.005704,0.460646,0.073343,1.011675,0.476945,0,2574,569,4031,2850,4852,0,0.0,0.024662,141,1,79005.9165
27,10311,20.221706,0.327999,0.333527,0.33634,9.7e-05,0.0,0.0,9.7e-05,0.0,0.0,0.0,0.0,0.0,9.7e-05,0.000776,0.0,0.000291,0.000582,0.000194,0.0,0.0,0.0,0.2929,0.006591,0.589934,0.073005,1.011877,0.588304,0,0,1422,3544,0,6767,0,0.0,0.02884,141,1,84099.37
28,9500,20.439128,0.327368,0.334526,0.336,0.000105,0.0,0.0,0.000105,0.0,0.0,0.0,0.0,0.0,0.000105,0.000737,0.0,0.000316,0.000632,0.000105,0.0,0.0,0.0,0.326514,0.007331,0.590074,0.072917,1.01183,0.656,0,0,811,3246,0,6254,0,0.0,0.032665,141,1,88887.6982
